Date,Revenue ($)
3/1/2022,7878261
3/2/2022,7995176
3/3/2022,9887822
3/4/2022,10067265
3/5/2022,9018922
3/6/2022,7372050
3/7/2022,7634777
3/8/2022,7348619
3/9/2022,7590490
3/10/2022,7985246
3/11/2022,9378573
3/12/2022,8265780
3/13/2022,6750923
3/14/2022,6890620
3/15/2022,6611906
3/16/2022,7271409
3/17/2022,9519969
3/18/2022,10760312
3/19/2022,9861632
3/20/2022,7559553
3/21/2022,7780081
3/22/2022,7634569
3/23/2022,6745895
3/24/2022,9335115
3/25/2022,10271207
3/26/2022,10044255
3/27/2022,7559553
3/28/2022,6249367
3/29/2022,6634569
3/30/2022,6693913
3/31/2022,7789467
4/1/2022,8925417
4/2/2022,8156614
4/3/2022,6411049
4/4/2022,7393961
4/5/2022,6976846
4/6/2022,6693913
4/7/2022,7713099
4/8/2022,9011239
4/9/2022,8156614
4/10/2022,6288934
4/11/2022,7028899
4/12/2022,7150885
4/13/2022,6077153
4/14/2022,8667563
4/15/2022,9613430
4/16/2022,8772570
4/17/2022,6477599
4/18/2022,6551790
4/19/2022,6501397
4/20/2022,6545220
4/21/2022,7904394
4/22/2022,8635728
4/23/2022,8270138
4/24/2022,6648541
4/25/2022,6172775
4/26/2022,6051419
4/27/2022,6166514
4/28/2022,8728659
4/29/2022,9208962
4/30/2022,9147298
5/1/2022,7741972
5/2/2022,6845106
5/3/2022,6954340
5/4/2022,5999269
5/5/2022,8647083
5/6/2022,9655999
5/7/2022,9416336
5/8/2022,8034122
5/9/2022,7180650
5/10/2022,5280292
5/11/2022,5492029
5/12/2022,6636477
5/13/2022,6943343
5/14/2022,6822336
5/15/2022,6255761
5/16/2022,5861218
5/17/2022,5991261
5/18/2022,6008603
5/19/2022,6657297
5/20/2022,8052227
5/21/2022,7125915
5/22/2022,6509310
5/23/2022,6175340
5/24/2022,5944044
5/25/2022,6342454
5/26/2022,6235247
5/27/2022,8085602
5/28/2022,8283632
5/29/2022,6826375
5/30/2022,6543967
5/31/2022,6641597
6/1/2022,6283728
6/2/2022,6482188
6/3/2022,7930109
6/4/2022,8361779
6/5/2022,6826375
6/6/2022,6119821
6/7/2022,5464681
6/8/2022,5589477
6/9/2022,6506286
6/10/2022,8366198
6/11/2022,8009580
6/12/2022,8435792
6/13/2022,9090978
6/14/2022,6527304
6/15/2022,6198211
6/16/2022,8649441
6/17/2022,7967307
6/18/2022,7317764
6/19/2022,6386572
6/20/2022,5463999
6/21/2022,6567346
6/22/2022,9277085
6/23/2022,8438542
6/24/2022,9262494
6/25/2022,5349309
6/26/2022,5510249
6/27/2022,5295546
6/28/2022,6415510
6/29/2022,8449441
6/30/2022,7767307
7/1/2022,7417764
7/2/2022,6239400
7/3/2022,6240154
7/4/2022,5436150
7/5/2022,5548900
7/6/2022,5845750
7/7/2022,8157055
7/8/2022,9151865
7/9/2022,9238895
7/10/2022,5916158
7/11/2022,5740649
7/12/2022,5727472
7/13/2022,5946928
7/14/2022,8097717
7/15/2022,8228520
7/16/2022,7694244
7/17/2022,6011350
7/18/2022,5731574
7/19/2022,5975355
7/20/2022,6090686
7/21/2022,7538646
7/22/2022,7620997
7/23/2022,7564092
7/24/2022,6132098
7/25/2022,5779159
7/26/2022,5850938
7/27/2022,5914022
7/28/2022,7789232
7/29/2022,8228520
7/30/2022,7549070
7/31/2022,6188154
8/1/2022,5786685
8/2/2022,5975355
8/3/2022,6268084
8/4/2022,8061126
8/5/2022,7473016
8/6/2022,7421373
8/7/2022,6308985
8/8/2022,6155585
8/9/2022,5870376
8/10/2022,5644734
8/11/2022,8555444
8/12/2022,8948464
8/13/2022,8642829
8/14/2022,7669332
8/15/2022,6237179
8/16/2022,5948207
8/17/2022,5787352
8/18/2022,6388038
8/19/2022,7170762
8/20/2022,7098342
8/21/2022,5556757
8/22/2022,5442250
8/23/2022,5392649
8/24/2022,4877232
8/25/2022,5516821
8/26/2022,7768189
8/27/2022,8123272
8/28/2022,6286786
8/29/2022,6527740
8/30/2022,6093967
8/31/2022,6153417
9/1/2022,7229383
9/2/2022,7160598
9/3/2022,6836836
9/4/2022,6483176
9/5/2022,6037081
9/6/2022,6257766
9/7/2022,6940911
9/8/2022,8900681
9/9/2022,8743162
9/10/2022,7629837
9/11/2022,6135975
9/12/2022,6748676
9/13/2022,7345461
9/14/2022,7800649
9/15/2022,8664726
9/16/2022,9649755
9/17/2022,9534830
9/18/2022,7455480
9/19/2022,6472075
9/20/2022,6618750
9/21/2022,5872794
9/22/2022,8502769
9/23/2022,9920309
9/24/2022,9711401
9/25/2022,7246448
9/26/2022,6345172
9/27/2022,6309463
9/28/2022,5984593
9/29/2022,6011350
9/30/2022,5566240
10/1/2022,1978644
10/2/2022,3174838
10/3/2022,4385254
10/4/2022,6152841
10/5/2022,6327217
10/6/2022,7911846
10/7/2022,8138929
10/8/2022,7350014
10/9/2022,6485873
10/10/2022,15246113
10/11/2022,14057614
10/12/2022,11473092
10/13/2022,5779159
10/14/2022,6330327
10/15/2022,6445483
10/16/2022,5425447
10/17/2022,4690452
10/18/2022,4499084
10/19/2022,4572041
10/20/2022,6242600
10/21/2022,5903880
10/22/2022,5829682
10/23/2022,6056116
10/24/2022,6206330
10/25/2022,6257772
10/26/2022,6827791
10/27/2022,7789467
10/28/2022,6911239
10/29/2022,6971250
10/30/2022,6870345
10/31/2022,7780850
