,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-10-01,6970642.1857659565,6853253.960161574,8873517.012973156,6970642.1857659565,6970642.1857659565,907260.4982110861,907260.4982110861,907260.4982110861,907260.4982110861,907260.4982110861,907260.4982110861,0.0,0.0,0.0,7877902.683977042
1,2022-10-02,6971593.494314657,5411916.316327749,7494240.2906188425,6971587.641224738,6971626.718165745,-496666.03442830354,-496666.03442830354,-496666.03442830354,-496666.03442830354,-496666.03442830354,-496666.03442830354,0.0,0.0,0.0,6474927.459886353
2,2022-10-03,6972544.802863356,5180109.068401667,7275364.628210364,6972316.791916829,6972804.1817387445,-774097.0621751265,-774097.0621751265,-774097.0621751265,-774097.0621751265,-774097.0621751265,-774097.0621751265,0.0,0.0,0.0,6198447.740688229
3,2022-10-04,6973496.111412056,5166845.331213261,7156034.373090698,6972961.35817631,6974134.656692094,-852694.82484635,-852694.82484635,-852694.82484635,-852694.82484635,-852694.82484635,-852694.82484635,0.0,0.0,0.0,6120801.286565706
4,2022-10-05,6974447.419960756,5184083.344430221,7234327.783099049,6973517.785329367,6975530.258309759,-748972.3503186192,-748972.3503186192,-748972.3503186192,-748972.3503186192,-748972.3503186192,-748972.3503186192,0.0,0.0,0.0,6225475.069642137
5,2022-10-06,6975398.728509456,6495803.492058201,8670104.571369454,6974094.482274786,6977069.356815279,622202.882246566,622202.882246566,622202.882246566,622202.882246566,622202.882246566,622202.882246566,0.0,0.0,0.0,7597601.610756022
6,2022-10-07,6976350.037058156,7258148.958695811,9391145.535147948,6974621.374943947,6978736.029778464,1342966.8913066143,1342966.8913066143,1342966.8913066143,1342966.8913066143,1342966.8913066143,1342966.8913066143,0.0,0.0,0.0,8319316.9283647705
7,2022-10-08,6977301.345606856,6866577.6054677,8986235.311182199,6974831.509100722,6980270.783193258,907260.4982104403,907260.4982104403,907260.4982104403,907260.4982104403,907260.4982104403,907260.4982104403,0.0,0.0,0.0,7884561.843817296
8,2022-10-09,6978252.654155556,5418434.85004763,7557278.422872272,6974978.554110612,6981976.7702822145,-496666.03442948393,-496666.03442948393,-496666.03442948393,-496666.03442948393,-496666.03442948393,-496666.03442948393,0.0,0.0,0.0,6481586.619726072
9,2022-10-10,6979203.962704255,5131427.3546793675,7258426.939213761,6974706.857739934,6983562.459093607,-774097.0621753973,-774097.0621753973,-774097.0621753973,-774097.0621753973,-774097.0621753973,-774097.0621753973,0.0,0.0,0.0,6205106.9005288575
10,2022-10-11,6980155.271252955,5064788.631536529,7137648.18996929,6974730.888141746,6985389.109773969,-852694.824845884,-852694.824845884,-852694.824845884,-852694.824845884,-852694.824845884,-852694.824845884,0.0,0.0,0.0,6127460.446407071
11,2022-10-12,6981106.579801655,5154921.914286611,7319461.611198753,6974833.44523431,6987080.744935085,-748972.3503182825,-748972.3503182825,-748972.3503182825,-748972.3503182825,-748972.3503182825,-748972.3503182825,0.0,0.0,0.0,6232134.2294833725
12,2022-10-13,6982057.888350355,6613610.81874422,8653458.913590223,6974702.496656825,6988900.983290909,622202.8822481259,622202.8822481259,622202.8822481259,622202.8822481259,622202.8822481259,622202.8822481259,0.0,0.0,0.0,7604260.770598481
13,2022-10-14,6983009.1968990555,7267486.885061369,9351344.166690942,6974537.514801191,6990715.335235694,1342966.8913067542,1342966.8913067542,1342966.8913067542,1342966.8913067542,1342966.8913067542,1342966.8913067542,0.0,0.0,0.0,8325976.08820581
14,2022-10-15,6983960.505447756,6808826.889767677,8940365.568778796,6974542.733428433,6992584.722394985,907260.498214252,907260.498214252,907260.498214252,907260.498214252,907260.498214252,907260.498214252,0.0,0.0,0.0,7891221.003662008
15,2022-10-16,6984911.813996455,5435468.769520592,7520827.090623242,6974410.980464346,6994419.989038508,-496666.0344265289,-496666.0344265289,-496666.0344265289,-496666.0344265289,-496666.0344265289,-496666.0344265289,0.0,0.0,0.0,6488245.779569926
16,2022-10-17,6985863.122545155,5247988.415852251,7256229.18915229,6974131.801893638,6996252.120072164,-774097.0621747577,-774097.0621747577,-774097.0621747577,-774097.0621747577,-774097.0621747577,-774097.0621747577,0.0,0.0,0.0,6211766.060370397
17,2022-10-18,6986814.431093855,5141860.071391093,7260945.302914676,6973933.595774587,6998216.808480599,-852694.8248457336,-852694.8248457336,-852694.8248457336,-852694.8248457336,-852694.8248457336,-852694.8248457336,0.0,0.0,0.0,6134119.606248122
18,2022-10-19,6987765.739642555,5297908.336935127,7202545.838307141,6973562.738829027,7000442.857278304,-748972.350317946,-748972.350317946,-748972.350317946,-748972.350317946,-748972.350317946,-748972.350317946,0.0,0.0,0.0,6238793.389324609
19,2022-10-20,6988717.048191255,6476928.641518312,8623254.969904533,6973206.083229427,7002698.80126461,622202.8822488631,622202.8822488631,622202.8822488631,622202.8822488631,622202.8822488631,622202.8822488631,0.0,0.0,0.0,7610919.930440119
20,2022-10-21,6989668.356739955,7313629.69885287,9361129.783358473,6973071.941810984,7004952.772201313,1342966.8913068883,1342966.8913068883,1342966.8913068883,1342966.8913068883,1342966.8913068883,1342966.8913068883,0.0,0.0,0.0,8332635.248046843
21,2022-10-22,6990619.665288654,6800320.5425027395,8935746.355389839,6972765.977060868,7007331.618491111,907260.4982136064,907260.4982136064,907260.4982136064,907260.4982136064,907260.4982136064,907260.4982136064,0.0,0.0,0.0,7897880.163502261
22,2022-10-23,6991570.973837354,5518433.761079036,7508314.117385807,6972307.29681736,7009537.053350484,-496666.03442698246,-496666.03442698246,-496666.03442698246,-496666.03442698246,-496666.03442698246,-496666.03442698246,0.0,0.0,0.0,6494904.939410372
23,2022-10-24,6992522.282386054,5221802.603112069,7250135.315206416,6972149.628134044,7011781.173118175,-774097.0621759382,-774097.0621759382,-774097.0621759382,-774097.0621759382,-774097.0621759382,-774097.0621759382,0.0,0.0,0.0,6218425.220210116
24,2022-10-25,6993473.590934754,5123101.59102115,7212717.588122017,6971606.151888394,7014142.461000157,-852694.8248464958,-852694.8248464958,-852694.8248464958,-852694.8248464958,-852694.8248464958,-852694.8248464958,0.0,0.0,0.0,6140778.7660882585
25,2022-10-26,6994424.899483454,5229705.612639596,7348747.155837512,6971395.132949235,7016563.920757646,-748972.3503168747,-748972.3503168747,-748972.3503168747,-748972.3503168747,-748972.3503168747,-748972.3503168747,0.0,0.0,0.0,6245452.54916658
26,2022-10-27,6995376.2080321545,6518996.853311241,8703676.766597278,6971365.325910358,7018813.81482645,622202.8822442016,622202.8822442016,622202.8822442016,622202.8822442016,622202.8822442016,622202.8822442016,0.0,0.0,0.0,7617579.090276356
27,2022-10-28,6996327.516580854,7307196.72620031,9363484.66420525,6970867.927020993,7021598.342058688,1342966.8913070285,1342966.8913070285,1342966.8913070285,1342966.8913070285,1342966.8913070285,1342966.8913070285,0.0,0.0,0.0,8339294.407887882
28,2022-10-29,6997278.825129554,6794146.9293992845,9016624.757913958,6969863.544328978,7023680.498617147,907260.4982125607,907260.4982125607,907260.4982125607,907260.4982125607,907260.4982125607,907260.4982125607,0.0,0.0,0.0,7904539.323342115
29,2022-10-30,6998230.133678254,5449312.0560103245,7497863.211591778,6969402.982152748,7026224.1638795715,-496666.03442743566,-496666.03442743566,-496666.03442743566,-496666.03442743566,-496666.03442743566,-496666.03442743566,0.0,0.0,0.0,6501564.099250818
30,2022-10-31,6999181.442226954,5245232.647209858,7342995.777569795,6969033.556274995,7028832.475900319,-774097.0621752986,-774097.0621752986,-774097.0621752986,-774097.0621752986,-774097.0621752986,-774097.0621752986,0.0,0.0,0.0,6225084.380051656
