ds,yhat,yhat_lower,yhat_upper
2022-10-01,6563940.0,,
2022-10-02,6325122.0,,
2022-10-03,6177175.5,,
2022-10-04,6399217.5,,
2022-10-05,6544662.0,,
2022-10-06,8350537.5,,
2022-10-07,8814026.0,,
2022-10-08,9013071.0,,
2022-10-09,6537757.5,,
2022-10-10,6576095.0,,
2022-10-11,6690903.5,,
2022-10-12,7247637.5,,
2022-10-13,8762293.0,,
2022-10-14,9479579.0,,
2022-10-15,9513267.0,,
2022-10-16,7658587.5,,
2022-10-17,6547751.5,,
2022-10-18,6513398.0,,
2022-10-19,6537638.0,,
2022-10-20,7642629.0,,
2022-10-21,8578029.0,,
2022-10-22,9056251.0,,
2022-10-23,7538645.5,,
2022-10-24,6061107.5,,
2022-10-25,6357162.0,,
2022-10-26,6293319.0,,
2022-10-27,6264800.0,,
2022-10-28,6796740.5,,
2022-10-29,6601005.0,,
2022-10-30,6909179.0,,
2022-10-31,5969972.0,,
