Active monthly subscribers amount,Date,Trial,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24
,4/1/2020,1501,711,437,286,206,142,116,95,78,65,58,47,44,40,36,32,27,21,18,15,14,11,9,,
,5/1/2020,1253,544,338,246,178,138,109,89,71,57,49,39,37,31,27,21,19,16,15,15,13,13,,,
,6/1/2020,1226,522,319,228,169,133,99,82,72,62,53,49,44,38,35,27,26,25,23,21,19,,,,
,7/1/2020,1484,538,297,201,147,112,85,77,64,56,51,49,40,34,33,32,30,23,20,18,,,,,
,8/1/2020,2009,775,449,317,257,198,170,148,126,99,89,76,67,58,57,51,41,38,36,,,,,,
,9/1/2020,2132,940,580,384,289,225,177,146,125,106,89,70,62,56,47,44,39,37,,,,,,,
,10/1/2020,1231,467,279,196,148,103,84,62,53,47,45,39,33,26,23,21,15,,,,,,,,
,11/1/2020,1035,392,194,128,118,80,65,65,48,44,42,35,31,29,22,20,,,,,,,,,
,12/1/2020,511,241,127,94,87,57,51,47,33,30,28,24,22,20,17,,,,,,,,,,
,1/1/2021,2167,756,439,311,244,186,140,119,94,81,75,62,56,51,,,,,,,,,,,
,2/1/2021,930,367,210,141,117,78,66,65,49,42,40,35,30,,,,,,,,,,,,
,3/1/2021,1140,478,249,168,155,91,86,71,55,54,49,33,,,,,,,,,,,,,
,4/1/2021,961,413,190,144,130,80,70,64,46,45,37,,,,,,,,,,,,,,
,5/1/2021,1018,400,195,144,132,76,74,70,48,37,,,,,,,,,,,,,,,
,6/1/2021,1009,336,178,116,107,66,59,58,36,,,,,,,,,,,,,,,,
,7/1/2021,5507,1607,898,631,485,367,298,251,,,,,,,,,,,,,,,,,
,8/1/2021,15545,4001,2144,1445,1063,840,671,,,,,,,,,,,,,,,,,,
,9/1/2021,4504,1498,859,588,437,343,,,,,,,,,,,,,,,,,,,
,10/1/2021,7335,1598,865,594,439,,,,,,,,,,,,,,,,,,,,
,11/1/2021,6890,1806,931,611,,,,,,,,,,,,,,,,,,,,,
,12/1/2021,1425,711,352,,,,,,,,,,,,,,,,,,,,,,
,1/1/2022,1793,626,,,,,,,,,,,,,,,,,,,,,,,
