,Month,Trial,Subscribers,Retention,Date,RetentionWeighted,Month number,Subs Price,Charges,Net Price,LTV
0,Month 1,62606,19727.0,0.3764,22,0.3151,1,9.99,0.3,6.99,2.2
1,Month 2,60813,10530.0,0.2087,21,0.1732,2,9.99,0.3,6.99,1.21
2,Month 3,59388,6973.0,0.1435,20,0.1174,3,9.99,0.3,6.99,0.82
3,Month 4,52498,4908.0,0.1181,19,0.0935,4,9.99,0.3,6.99,0.65
4,Month 5,45163,3315.0,0.0853,18,0.0734,5,9.99,0.3,6.99,0.51
5,Month 6,40659,2420.0,0.0714,17,0.0595,6,9.99,0.3,6.99,0.42
6,Month 7,25114,1509.0,0.0641,16,0.0601,7,9.99,0.3,6.99,0.42
7,Month 8,19607,998.0,0.0507,15,0.0509,8,9.99,0.3,6.99,0.36
8,Month 9,18598,825.0,0.0449,14,0.0444,9,9.99,0.3,6.99,0.31
9,Month 10,17580,705.0,0.041,13,0.0401,10,9.99,0.3,6.99,0.28
10,Month 11,16619,558.0,0.0345,12,0.0336,11,9.99,0.3,6.99,0.23
11,Month 12,15479,466.0,0.0311,11,0.0301,12,9.99,0.3,6.99,0.21
12,Month 13,14549,383.0,0.0272,10,0.0263,13,9.99,0.15,8.49,0.22
13,Month 14,12382,297.0,0.0244,9,0.024,14,9.99,0.15,8.49,0.2
14,Month 15,11871,248.0,0.0205,8,0.0209,15,9.99,0.15,8.49,0.18
15,Month 16,10836,197.0,0.0179,7,0.0182,16,9.99,0.15,8.49,0.15
16,Month 17,9605,160.0,0.0165,6,0.0167,17,9.99,0.15,8.49,0.14
17,Month 18,7473,112.0,0.0148,5,0.015,18,9.99,0.15,8.49,0.13
18,Month 19,5464,69.0,0.0128,4,0.0126,19,9.99,0.15,8.49,0.11
19,Month 20,3980,46.0,0.0117,3,0.0116,20,9.99,0.15,8.49,0.1
20,Month 21,2754,24.0,0.0088,2,0.0087,21,9.99,0.15,8.49,0.07
21,Month 22,1501,9.0,0.006,1,0.006,22,9.99,0.15,8.49,0.05
