,index,Active monthly subscribers amount,Date,Trial,Month,Subscribers,Retention
0,0,,4/1/2020,1501,Month 1,711.0,0.4737
1,1,,5/1/2020,1253,Month 1,544.0,0.4342
2,2,,6/1/2020,1226,Month 1,522.0,0.4258
3,3,,7/1/2020,1484,Month 1,538.0,0.3625
4,4,,8/1/2020,2009,Month 1,775.0,0.3858
5,5,,9/1/2020,2132,Month 1,940.0,0.4409
6,6,,10/1/2020,1231,Month 1,467.0,0.3794
7,7,,11/1/2020,1035,Month 1,392.0,0.3787
8,8,,12/1/2020,511,Month 1,241.0,0.4716
9,9,,1/1/2021,2167,Month 1,756.0,0.3489
10,10,,2/1/2021,930,Month 1,367.0,0.3946
11,11,,3/1/2021,1140,Month 1,478.0,0.4193
12,12,,4/1/2021,961,Month 1,413.0,0.4298
13,13,,5/1/2021,1018,Month 1,400.0,0.3929
14,14,,6/1/2021,1009,Month 1,336.0,0.333
15,15,,7/1/2021,5507,Month 1,1607.0,0.2918
16,16,,8/1/2021,15545,Month 1,4001.0,0.2574
17,17,,9/1/2021,4504,Month 1,1498.0,0.3326
18,18,,10/1/2021,7335,Month 1,1598.0,0.2179
19,19,,11/1/2021,6890,Month 1,1806.0,0.2621
20,20,,12/1/2021,1425,Month 1,711.0,0.4989
21,21,,1/1/2022,1793,Month 1,626.0,0.3491
22,22,,4/1/2020,1501,Month 2,437.0,0.2911
23,23,,5/1/2020,1253,Month 2,338.0,0.2698
24,24,,6/1/2020,1226,Month 2,319.0,0.2602
25,25,,7/1/2020,1484,Month 2,297.0,0.2001
26,26,,8/1/2020,2009,Month 2,449.0,0.2235
27,27,,9/1/2020,2132,Month 2,580.0,0.272
28,28,,10/1/2020,1231,Month 2,279.0,0.2266
29,29,,11/1/2020,1035,Month 2,194.0,0.1874
30,30,,12/1/2020,511,Month 2,127.0,0.2485
31,31,,1/1/2021,2167,Month 2,439.0,0.2026
32,32,,2/1/2021,930,Month 2,210.0,0.2258
33,33,,3/1/2021,1140,Month 2,249.0,0.2184
34,34,,4/1/2021,961,Month 2,190.0,0.1977
35,35,,5/1/2021,1018,Month 2,195.0,0.1916
36,36,,6/1/2021,1009,Month 2,178.0,0.1764
37,37,,7/1/2021,5507,Month 2,898.0,0.1631
38,38,,8/1/2021,15545,Month 2,2144.0,0.1379
39,39,,9/1/2021,4504,Month 2,859.0,0.1907
40,40,,10/1/2021,7335,Month 2,865.0,0.1179
41,41,,11/1/2021,6890,Month 2,931.0,0.1351
42,42,,12/1/2021,1425,Month 2,352.0,0.247
43,44,,4/1/2020,1501,Month 3,286.0,0.1905
44,45,,5/1/2020,1253,Month 3,246.0,0.1963
45,46,,6/1/2020,1226,Month 3,228.0,0.186
46,47,,7/1/2020,1484,Month 3,201.0,0.1354
47,48,,8/1/2020,2009,Month 3,317.0,0.1578
48,49,,9/1/2020,2132,Month 3,384.0,0.1801
49,50,,10/1/2020,1231,Month 3,196.0,0.1592
50,51,,11/1/2020,1035,Month 3,128.0,0.1237
51,52,,12/1/2020,511,Month 3,94.0,0.184
52,53,,1/1/2021,2167,Month 3,311.0,0.1435
53,54,,2/1/2021,930,Month 3,141.0,0.1516
54,55,,3/1/2021,1140,Month 3,168.0,0.1474
55,56,,4/1/2021,961,Month 3,144.0,0.1498
56,57,,5/1/2021,1018,Month 3,144.0,0.1415
57,58,,6/1/2021,1009,Month 3,116.0,0.115
58,59,,7/1/2021,5507,Month 3,631.0,0.1146
59,60,,8/1/2021,15545,Month 3,1445.0,0.093
60,61,,9/1/2021,4504,Month 3,588.0,0.1306
61,62,,10/1/2021,7335,Month 3,594.0,0.081
62,63,,11/1/2021,6890,Month 3,611.0,0.0887
63,66,,4/1/2020,1501,Month 4,206.0,0.1372
64,67,,5/1/2020,1253,Month 4,178.0,0.1421
65,68,,6/1/2020,1226,Month 4,169.0,0.1378
66,69,,7/1/2020,1484,Month 4,147.0,0.0991
67,70,,8/1/2020,2009,Month 4,257.0,0.1279
68,71,,9/1/2020,2132,Month 4,289.0,0.1356
69,72,,10/1/2020,1231,Month 4,148.0,0.1202
70,73,,11/1/2020,1035,Month 4,118.0,0.114
71,74,,12/1/2020,511,Month 4,87.0,0.1703
72,75,,1/1/2021,2167,Month 4,244.0,0.1126
73,76,,2/1/2021,930,Month 4,117.0,0.1258
74,77,,3/1/2021,1140,Month 4,155.0,0.136
75,78,,4/1/2021,961,Month 4,130.0,0.1353
76,79,,5/1/2021,1018,Month 4,132.0,0.1297
77,80,,6/1/2021,1009,Month 4,107.0,0.106
78,81,,7/1/2021,5507,Month 4,485.0,0.0881
79,82,,8/1/2021,15545,Month 4,1063.0,0.0684
80,83,,9/1/2021,4504,Month 4,437.0,0.097
81,84,,10/1/2021,7335,Month 4,439.0,0.0599
82,88,,4/1/2020,1501,Month 5,142.0,0.0946
83,89,,5/1/2020,1253,Month 5,138.0,0.1101
84,90,,6/1/2020,1226,Month 5,133.0,0.1085
85,91,,7/1/2020,1484,Month 5,112.0,0.0755
86,92,,8/1/2020,2009,Month 5,198.0,0.0986
87,93,,9/1/2020,2132,Month 5,225.0,0.1055
88,94,,10/1/2020,1231,Month 5,103.0,0.0837
89,95,,11/1/2020,1035,Month 5,80.0,0.0773
90,96,,12/1/2020,511,Month 5,57.0,0.1115
91,97,,1/1/2021,2167,Month 5,186.0,0.0858
92,98,,2/1/2021,930,Month 5,78.0,0.0839
93,99,,3/1/2021,1140,Month 5,91.0,0.0798
94,100,,4/1/2021,961,Month 5,80.0,0.0832
95,101,,5/1/2021,1018,Month 5,76.0,0.0747
96,102,,6/1/2021,1009,Month 5,66.0,0.0654
97,103,,7/1/2021,5507,Month 5,367.0,0.0666
98,104,,8/1/2021,15545,Month 5,840.0,0.054
99,105,,9/1/2021,4504,Month 5,343.0,0.0762
100,110,,4/1/2020,1501,Month 6,116.0,0.0773
101,111,,5/1/2020,1253,Month 6,109.0,0.087
102,112,,6/1/2020,1226,Month 6,99.0,0.0808
103,113,,7/1/2020,1484,Month 6,85.0,0.0573
104,114,,8/1/2020,2009,Month 6,170.0,0.0846
105,115,,9/1/2020,2132,Month 6,177.0,0.083
106,116,,10/1/2020,1231,Month 6,84.0,0.0682
